movie_ID,Job,Name
404733, Camera Operator, Eric Bornes
9387, Additional Editing, Christopher Holmes
87101, Script Supervisor, Alan Taylor
15651, Camera Operator, Mark Falstad
10012, Makeup Effects, Dawn Dininger
139933, Script Supervisor, Dustin Bricker
4970, Set Designer, Frédéric Amblard
103, Script Supervisor, Kay Chapin
9426, Sound Re-Recording Mixer, Gerry Humphreys
8961, Story, Cormac Wibberley
76341, Assistant Art Director, Andrew Chan
318846, Visual Effects Producer, Mare McIntosh
341006, Visual Effects Supervisor, Allan Magled
63112, Producer, Rodolfo Puttignani
35122, Sound Effects Editor, Eric Marin
9268, Makeup Artist, Louis Lazzara
284289, Camera Operator, Will Arnot
18, Production Manager, Bernard Grenet
338, Makeup Artist, Birger Laube
16871, Set Decoration, Don Diers
173897, Camera Operator, Lars Cox
368031, Animation Director, Yvonne Inlund
, Executive Producer, Danny Dimbort
16617, Producer, Robert F. Newmyer
47327, Executive Producer, Diego J. Martinez
300673, Construction Coordinator, Joseph Kearney
194662, Hairstylist, Kat Drazen
55534, Visual Effects Producer, Meredith Meyer-Nichols
402298, Music Editor, James Sizemore
393457, Casting Associate, Linda Weaver
2321, Stunt Coordinator, Frank Ferrara
416477, Art Direction, Andy Eklund
1541, First Assistant Director, Steve Danton
13154, Camera Operator, Eric J. Goldstein
10796, Steadicam Operator, Jacques Jouffret
72545, Executive Producer, Evan Turner
291356, Casting Associate, Sarah Domeier
10191, Associate Producer, Suzanne Buirgy
10715, Storyboard, Bob Camp
17337, Dialogue Editor, Melissa Ellis
35, Producer, Matt Orefice
9297, Visual Development, Dan Abrams
381034, Script Supervisor, Aleshia Mueller
10315, Animation, Will Hodge
13053, Orchestrator, Germaine Franco
2062, Director, Brad Bird
8392, Background Designer, Kiyomi Ôta
14836, Animation, Brian Demoskoff
44912, Script Supervisor, Anna Rane
51162, Foley, John Roesch
10009, Visual Development, Marcelo Vignali
15947, Animation, Bill Justice
214756, Script Supervisor, Kelly Cronin
12, CG Painter, Jamie Frye
15166, Visual Effects Supervisor, Veselina Georgieva
7443, Animation, Mike Booth
9473, Animation, Jennifer M. Allen
128, Executive Producer, Yutaka Narita
72105, Dialogue Editor, Ralph Osborn
10470, Set Designer, Uwe Saegner
533, Editor, David McCormick
77174, Animation, Daniel Alderson
49948, Animation, Dave Kupczyk
378236, Visual Development, Joey Chou
149870, Animation, Madoya Hoshino
9496, Animation, Franck Pimenta
12593, Special Effects, Helen Jordan
170687, Producer, David Bleiman Ichioka
98566, Animation, Kevin Labanowich
10539, Animation, Timothy Hittle
16306, Animation, Josef Kábrt
41201, Animation, Satjit Matharu
291270, Animation, Savelen Forrest
3170, Animation, George Rowley
10895, Animation, Charles A. Nichols
223046, Animation Director, Helen Komar
49013, Art Direction, Jay Shuster
10380, Sound Re-Recording Mixer, Tom Gerard
230179, Editor, Iikka Hesse
257344, Animation, Jocelyn Cofer
43074, CG Supervisor, Michael Muir
75258, Sound Effects Editor, Angelo Palazzo
21724, Set Costumer, La Shan Knox
238713, Set Costumer, Sandor Daroczi
