id,budget,original_language,popularity,revenue,runtime,vote_average,vote_count,release_month,avg_rating,keyword_bin,actor_bin,crew_bin,country_count,country_bin,genre,genre_bin,language_count,language_bin,collection_bin,profit,profit_margin,profit_group
862,30000000,en,21.946943,373554033,81,7.7,5415,Oct,3.5989304812834226,1,1,0,1,0,Animation,0,1,0,1,343554033,0.919690332991265,Top_20
31357,16000000,en,3.859495,81452156,127,6.1,34,Dec,3.493333333333333,0,0,0,1,0,Comedy,0,1,0,0,65452156,0.8035656662053242,Bottom_80
11860,58000000,en,6.677277,33828318,127,6.2,141,Dec,3.5555555555555554,0,0,0,2,0,Comedy,0,2,0,0,-24171682,-0.7145398715951529,Bottom_80
9091,35000000,en,5.23158,64350171,106,5.5,174,Dec,2.697058823529412,0,0,0,1,0,Action,0,1,0,0,29350171,0.456100901425732,Bottom_80
710,58000000,en,14.686036,352194034,130,6.6,1194,Nov,2.740333586050038,0,0,0,2,0,Adventure,0,3,0,1,294194034,0.8353180508446659,Bottom_80
10858,44000000,en,5.092,13681765,192,7.1,72,Dec,3.6058352402745997,0,1,0,1,0,History,0,1,0,0,-30318235,-2.215959344426688,Bottom_80
524,52000000,en,10.137389,116112375,178,7.8,1343,Nov,3.5151697042453347,0,1,1,2,0,Drama,0,1,0,0,64112375,0.5521579848831789,Bottom_80
4584,16500000,en,10.673167,135000000,136,7.2,364,Dec,2.7184115523465704,0,1,0,2,0,Drama,0,1,0,0,118500000,0.8777777777777778,Top_20
5,4000000,en,9.026586,4300000,98,6.5,539,Dec,3.079564818455892,0,0,0,1,0,Crime,0,1,0,0,300000,0.06976744186046512,Bottom_80
9273,30000000,en,8.205448,212385533,90,6.1,1128,Nov,3.313488759367194,0,1,0,1,0,Crime,0,1,0,1,182385533,0.8587474411451556,Top_20
8012,30250000,en,12.669608,115101622,105,6.4,305,Oct,3.842696629213483,0,0,0,1,0,Comedy,0,1,0,1,84851622,0.737188760033286,Bottom_80
9691,50000000,en,11.065939,30303072,132,6,394,Oct,3.0846750149075732,0,0,1,2,0,Action,0,3,0,0,-19696928,-0.6499977296031241,Bottom_80
451,3600000,en,10.332025,49800000,112,7.1,365,Oct,3.0541158536585367,0,0,0,1,0,Drama,0,1,0,0,46200000,0.927710843373494,Top_20
9263,12000000,en,8.681325,27400000,100,6.6,91,Oct,2.891286970423661,0,0,0,1,0,Comedy,0,1,0,0,15400000,0.5620437956204379,Bottom_80
902,18000000,fr,9.822423,1738611,108,7.6,308,May,3.821982549684925,0,0,0,3,0,Fantasy,0,2,0,0,-16261389,-9.353092209815767,Bottom_80
63,29500000,en,12.297305,168840000,129,7.4,2470,Dec,3.114120283899888,0,1,0,1,0,Science Fiction,0,2,0,0,139340000,0.8252783700544895,Bottom_80
9598,30000000,en,14.404764,254134910,89,6,756,Jul,3.343231441048035,0,0,0,2,0,Fantasy,0,1,0,1,224134910,0.8819524637524219,Top_20
687,11000000,en,6.891317,39363635,122,7.3,350,Dec,2.9950980392156863,0,0,0,2,0,Drama,0,1,0,0,28363635,0.7205542628367527,Bottom_80
9603,12000000,en,9.882383,35057696,97,6.9,828,Jul,3.3,0,0,0,1,0,Comedy,0,2,0,0,23057696,0.6577071122985378,Bottom_80
11443,10000000,en,9.87957,51079064,119,6.6,80,Oct,3.0659059152305543,0,0,0,1,0,Action,0,1,0,0,41079064,0.8042250735056539,Bottom_80
