id,budget,original_language,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,release_month,profit,profit_margin,profit_group,avg_rating,key_sum,keyword_bin,actor_sum,actor_bin,crew_sum,crew_bin,country_count,country_sum,country_bin,genre,genre_sum,genre_bin,language_count,language_sum,language_bin,collection,collection_bin
862,30000000,en,21.946943,1995-10-30,373554033,81,Released,Toy Story,7.7,5415,Oct,343554033,0.919690332991265,Top_20,3.5989304812834226,1,1,1,1,0,0,1,0,0,Animation,0,0,1,0,0,Toy Story Collection,1
31357,16000000,en,3.859495,1995-12-22,81452156,127,Released,Waiting to Exhale,6.1,34,Dec,65452156,0.8035656662053242,Bottom_80,NA,0,0,0,0,0,0,1,0,0,Comedy,0,0,1,0,0,NA,0
11860,58000000,en,6.677277,1995-12-15,NA,127,Released,Sabrina,6.2,141,Dec,NA,NA,"NA",NA,0,0,0,0,0,0,2,0,0,Comedy,0,0,2,0,0,NA,0
9091,35000000,en,5.23158,1995-12-22,64350171,106,Released,Sudden Death,5.5,174,Dec,29350171,0.456100901425732,Bottom_80,NA,0,0,0,0,0,0,1,0,0,Action,0,0,1,0,0,NA,0
710,58000000,en,14.686036,1995-11-16,352194034,130,Released,GoldenEye,6.6,1194,Nov,294194034,0.8353180508446659,Top_20,2.740333586050038,0,0,0,0,0,0,2,0,0,Adventure,0,0,3,0,0,James Bond Collection,1
10858,44000000,en,5.092,1995-12-22,13681765,192,Released,Nixon,7.1,72,Dec,-30318235,-2.215959344426688,Bottom_80,NA,0,0,1,1,0,0,1,0,0,History,0,0,1,0,0,NA,0
524,52000000,en,10.137389,1995-11-22,116112375,178,Released,Casino,7.8,1343,Nov,64112375,0.5521579848831789,Bottom_80,3.5151697042453347,0,0,2,1,1,1,2,0,0,Drama,0,0,1,0,0,NA,0
4584,16500000,en,10.673167,1995-12-13,135000000,136,Released,Sense and Sensibility,7.2,364,Dec,118500000,0.8777777777777778,Top_20,2.7184115523465704,0,0,1,1,0,0,2,0,0,Drama,0,0,1,0,0,NA,0
5,4000000,en,9.026586,1995-12-09,4300000,98,Released,Four Rooms,6.5,539,Dec,300000,0.06976744186046512,Bottom_80,3.079564818455892,0,0,0,0,0,0,1,0,0,Crime,0,0,1,0,0,NA,0
9273,30000000,en,8.205448,1995-11-10,212385533,90,Released,Ace Ventura: When Nature Calls,6.1,1128,Nov,182385533,0.8587474411451556,Top_20,NA,0,0,1,1,0,0,1,0,0,Crime,0,0,1,0,0,Ace Ventura Collection,1
8012,30250000,en,12.669608,1995-10-20,115101622,105,Released,Get Shorty,6.4,305,Oct,84851622,0.737188760033286,Bottom_80,3.842696629213483,0,0,0,0,0,0,1,0,0,Comedy,0,0,1,0,0,Chili Palmer Collection,1
9691,50000000,en,11.065939,1995-10-06,30303072,132,Released,Assassins,6,394,Oct,-19696928,-0.6499977296031241,Bottom_80,NA,0,0,0,0,1,1,2,0,0,Action,0,0,3,0,0,NA,0
451,3600000,en,10.332025,1995-10-27,49800000,112,Released,Leaving Las Vegas,7.1,365,Oct,46200000,0.927710843373494,Top_20,3.0541158536585367,0,0,0,0,0,0,1,0,0,Drama,0,0,1,0,0,NA,0
9263,12000000,en,8.681325,1995-10-20,27400000,100,Released,Now and Then,6.6,91,Oct,15400000,0.5620437956204379,Bottom_80,NA,0,0,0,0,0,0,1,0,0,Comedy,0,0,1,0,0,NA,0
902,18000000,fr,9.822423,1995-05-16,1738611,108,Released,The City of Lost Children,7.6,308,May,-16261389,-9.353092209815767,Bottom_80,3.821982549684925,0,0,0,0,0,0,3,0,0,Fantasy,0,0,2,0,0,NA,0
63,29500000,en,12.297305,1995-12-29,168840000,129,Released,Twelve Monkeys,7.4,2470,Dec,139340000,0.8252783700544895,Top_20,3.114120283899888,0,0,1,1,0,0,1,0,0,Science Fiction,0,0,2,0,0,NA,0
9598,30000000,en,14.404764,1995-07-18,254134910,89,Released,Babe,6,756,Jul,224134910,0.8819524637524219,Top_20,NA,0,0,0,0,0,0,2,0,0,Fantasy,0,0,1,0,0,Babe Collection,1
687,11000000,en,6.891317,1995-12-29,39363635,122,Released,Dead Man Walking,7.3,350,Dec,28363635,0.7205542628367527,Bottom_80,2.9950980392156863,0,0,0,0,0,0,2,0,0,Drama,0,0,1,0,0,NA,0
9603,12000000,en,9.882383,1995-07-19,NA,97,Released,Clueless,6.9,828,Jul,NA,NA,"NA",NA,0,0,0,0,0,0,1,0,0,Comedy,0,0,2,0,0,NA,0
11443,10000000,en,9.87957,1995-10-06,NA,119,Released,Dead Presidents,6.6,80,Oct,NA,NA,"NA",NA,0,0,0,0,0,0,1,0,0,Action,0,0,1,0,0,NA,0
35196,19000000,en,10.979269,1995-12-29,NA,117,Released,Restoration,6.3,30,Dec,NA,NA,"NA",NA,0,0,0,0,0,0,1,0,0,Drama,0,0,2,0,0,NA,0
9312,18000000,en,10.870138,1995-08-18,122195920,101,Released,Mortal Kombat,5.4,452,Aug,104195920,0.8526955728145424,Top_20,NA,1,1,0,0,0,0,1,0,0,Action,0,0,1,0,0,Mortal Kombat Collection,1
577,20000000,en,10.448481,1995-05-20,21284514,106,Released,To Die For,6.7,177,May,1284514,0.06034969837695143,Bottom_80,2.8165413533834585,0,0,1,1,0,0,1,0,0,Fantasy,0,0,1,0,0,NA,0
11861,10000000,en,4.485958,1995-10-06,23574130,116,Released,How To Make An American Quilt,6.5,38,Oct,13574130,0.5758061909389657,Bottom_80,NA,0,0,0,0,0,0,1,0,0,Drama,0,0,1,0,0,NA,0
807,33000000,en,18.45743,1995-09-22,327311859,127,Released,Se7en,8.1,5915,Sep,294311859,0.8991787217828854,Top_20,3.2782805429864252,1,1,2,1,0,0,1,0,0,Crime,0,0,1,0,0,NA,0
10530,55000000,en,13.280069,1995-06-14,346079773,81,Released,Pocahontas,6.7,1509,Jun,291079773,0.84107710334172,Top_20,NA,0,0,1,1,0,0,1,0,0,Adventure,0,0,1,0,0,Pocahontas Collection,1
629,6000000,en,16.302466,1995-07-19,23341568,106,Released,The Usual Suspects,8.1,3334,Jul,17341568,0.7429478602294413,Bottom_80,3.1551724137931036,0,0,0,0,0,0,1,0,0,Drama,0,0,4,0,0,NA,0
11448,15000000,en,15.899134,1995-09-13,6700000,95,Released,Mighty Aphrodite,6.7,145,Sep,-8300000,-1.2388059701492538,Bottom_80,NA,0,0,1,1,0,0,1,0,0,Comedy,0,0,1,0,0,NA,0
11359,45000000,en,10.673296,1995-07-14,NA,96,Released,The Indian in the Cupboard,5.9,136,Jul,NA,NA,"NA",NA,0,0,0,0,0,0,1,0,0,Adventure,0,0,1,0,0,NA,0
17182,20000000,en,4.733526,1996-01-12,NA,101,Released,Eye for an Eye,5.8,65,Jan,NA,NA,"NA",NA,0,0,0,0,0,0,1,0,0,Drama,0,0,4,0,0,NA,0
9536,15000000,en,6.387469,1996-01-12,NA,88,Released,Bio-Dome,4.4,110,Jan,NA,NA,"NA",NA,0,0,0,0,0,0,1,0,0,Comedy,0,0,2,0,0,NA,0
10634,3500000,en,14.56965,1995-04-26,28215918,91,Released,Friday,7,513,Apr,24715918,0.8759565433951148,Top_20,NA,0,0,0,0,0,0,1,0,0,Comedy,0,0,1,0,0,Friday Collection,1
755,19000000,en,15.339153,1996-01-19,25836616,108,Released,From Dusk Till Dawn,6.9,1644,Jan,6836616,0.26460957580512867,Bottom_80,3.375796178343949,0,0,1,1,1,1,1,0,0,Horror,0,0,2,0,0,From Dusk Till Dawn Collection,1
11859,50000000,en,5.912223,1995-11-03,11534477,91,Released,Fair Game,4.1,54,Nov,-38465523,-3.3348302658195945,Bottom_80,NA,0,0,0,0,0,0,1,0,0,Action,0,0,2,0,0,NA,0
36929,15000000,en,2.936443,1996-01-26,2042530,90,Released,Big Bully,3.9,16,Jan,-12957470,-6.343833383108204,Bottom_80,NA,0,0,0,0,0,0,1,0,0,Comedy,0,0,1,0,0,NA,0
